"Coach","Year","Rating","Rank"
"Dave Wannstedt",2007,1477.3857665146,103
"Dave Wannstedt",2008,1536.14833611936,42
"Dave Wannstedt",2009,1568.50665701807,29
"Dave Wannstedt",2010,1556.14710959923,35
"David Bailiff",2005,1500.00046204375,61
"David Bailiff",2006,1488.67233573926,74
"David Bailiff",2007,1439.26469317622,138
"David Bailiff",2008,1527.23146619821,51
"David Bailiff",2009,1450.81825143188,156
"David Bailiff",2010,1438.55474597947,185
"David Bailiff",2011,1431.99780390627,224
"David Bailiff",2012,1477.93849245412,178
"David Bailiff",2013,1534.79619969421,62
"David Bailiff",2014,1544.32852355701,50
"David Bailiff",2015,1499.58880110929,141
"David Beaty",2015,1410.45297350015,310
"David Cutcliffe",2008,1447.76634586437,141
"David Cutcliffe",2009,1458.1936705309,147
"David Cutcliffe",2010,1420.74128054313,201
"David Cutcliffe",2011,1420.93112352661,227
"David Cutcliffe",2012,1439.14850741283,231
"David Cutcliffe",2013,1519.93903644926,84
"David Cutcliffe",2014,1548.09447217448,47
"David Cutcliffe",2015,1527.33223424077,79
"David Elson",2005,1479.21245154911,90
"David Elson",2006,1476.15265857835,89
"David Elson",2007,1445.57234163613,132
"David Elson",2008,1372.66276426083,170
"David Elson",2009,1325.0699578024,194
"David Gunn",2011,1540.25362910988,48
"David Shaw",2011,1594.97238038224,25
"David Shaw",2012,1661.57151714421,8
"David Shaw",2013,1646.00102888774,9
"David Shaw",2014,1612.02257861573,18
"David Shaw",2015,1682.18126240684,5
"Dell McGee",2015,1525.03715636811,83
"Dennis Erickson",2006,1449.66260454181,106
"Dennis Erickson",2007,1544.2693879384,38
"Dennis Erickson",2008,1502.33792020553,79
"Dennis Erickson",2009,1461.03721225114,144
"Dennis Erickson",2010,1469.26153374789,153
"Dennis Erickson",2011,1447.36034240527,211
"Dennis Franchione",2005,1484.26611743875,78
"Dennis Franchione",2006,1530.96971647044,44
"Dennis Franchione",2007,1524.71454177842,51
"Dennis Franchione",2011,1487.79611614972,141
"Dennis Franchione",2012,1439.51518584205,230
"Dennis Franchione",2013,1443.61168105831,242
"Dennis Franchione",2014,1469.64050891995,234
"Dennis Franchione",2015,1413.90815003174,308
"Derek Dooley",2007,1473.83180716174,107
"Derek Dooley",2008,1498.2941623841,88
"Derek Dooley",2009,1455.84015943987,149
"Derek Dooley",2010,1465.67794127795,158
"Derek Dooley",2011,1463.03160497257,185
"Derek Dooley",2012,1476.55928416833,181
"Derek Mason",2014,1439.58089895761,272
"Derek Mason",2015,1424.91325477688,302
"DeWayne Walker",2007,1496.39771374348,83
"DeWayne Walker",2009,1426.60176785728,173
"DeWayne Walker",2010,1389.08421832336,213
"DeWayne Walker",2011,1404.11768772937,229
"DeWayne Walker",2012,1336.79303935852,270
"Dick Tomey",2005,1446.68131349763,109
"Dick Tomey",2006,1502.59326598324,65
"Dick Tomey",2007,1473.79907702692,108
"Dick Tomey",2008,1466.886603991,125
"Dick Tomey",2009,1406.83015236628,181
"Dino Babers",2014,1504.1736854413,112
"Dino Babers",2015,1537.64959411411,61
"Dirk Koetter",2005,1519.82411615039,36
"Dirk Koetter",2006,1513.89969017676,54
"Don Brown",2005,1489.07039877962,71
"Don Brown",2006,1473.34000888189,91
"Don Brown",2007,1472.01630251343,111
"Don Brown",2008,1471.62934388635,118
"Don Strock",2005,1483.86015020544,80
"Don Strock",2006,1376.93675798774,137
"Don Treadwell",2011,1443.43770752538,216
"Don Treadwell",2012,1417.20866071803,245
"Don Treadwell",2013,1337.35104867349,295
"Doug Marrone",2009,1457.65965044851,148
"Doug Marrone",2010,1481.15163792668,133
"Doug Marrone",2011,1463.30381711759,184
"Doug Marrone",2012,1503.42322441975,105
"Doug Martin",2005,1408.5434995126,122
"Doug Martin",2006,1444.57074366961,113
"Doug Martin",2007,1399.77936077157,155
"Doug Martin",2008,1392.24831688738,165
"Doug Martin",2009,1406.80155672497,182
"Doug Martin",2010,1414.82054835351,206
"Doug Martin",2013,1382.12840031455,288
"Doug Martin",2014,1346.02496392007,312
"Doug Martin",2015,1344.65906266168,330
"Ed Orgeron",2005,1445.68618409845,110
"Ed Orgeron",2006,1425.1277053825,124
"Ed Orgeron",2007,1394.9923666888,157
"Ed Orgeron",2013,1552.60667080685,50
"Ellis Johnson",2012,1396.18590965834,257
"Everett Withers",2011,1492.40463593766,126
"Fisher DeBerry",2005,1471.52816037319,93
"Fisher DeBerry",2006,1447.69561603352,109
"Frank Beamer",2005,1579.39634245151,7
"Frank Beamer",2006,1588.488684689,15
"Frank Beamer",2007,1620.92380462224,7
"Frank Beamer",2008,1616.16339360458,11
"Frank Beamer",2009,1631.58625832055,12
"Frank Beamer",2010,1661.60992157025,5
"Frank Beamer",2011,1653.73564763217,8
"Frank Beamer",2012,1579.39385559424,28
"Frank Beamer",2013,1563.47255236835,40
"Frank Beamer",2014,1541.72560321627,55
"Frank Beamer",2015,1521.90860555455,84
"Frank Solich",2005,1470.10806271642,96
"Frank Solich",2006,1496.40825936302,69
"Frank Solich",2007,1480.90469946678,99
"Frank Solich",2008,1440.91558726734,145
"Frank Solich",2009,1466.61381399303,135
"Frank Solich",2010,1503.91566979218,86
"Frank Solich",2011,1532.18363475761,56
"Frank Solich",2012,1536.6125943496,64
"Frank Solich",2013,1505.01946083212,107
